@relation segment

@attribute LOG1_2 numeric
@attribute LOG1_4 numeric
@attribute LOG1_6 numeric
@attribute LOG1_8 numeric
@attribute LOG_2 numeric
@attribute LOG_4 numeric
@attribute LOG_8 numeric
@attribute class {class1,class2}

@data
-3198.734619,-2103.278076,-1454.632813,-840.721436,-3198.734619,-2103.278076,-840.721436,class1
2530.748779,-1917.660645,-1059.432373,-543.468872,2530.748779,-1917.660645,-543.468872,class1
-9078.664063,-1672.301392,-445.379883,-186.462006,-9078.664063,-1672.301392,-186.462006,class1
-3464.638916,-291.331848,257.639801,105.727264,-3464.638916,-291.331848,105.727264,class1
5617.767578,1236.370361,589.793213,179.070496,5617.767578,1236.370361,179.070496,class1
2396.873047,1805.742432,808.648376,433.133423,2396.873047,1805.742432,433.133423,class1
15209.011719,1708.065918,447.71286,167.885681,15209.011719,1708.065918,167.885681,class1
-2071.257568,-973.595703,-169.390076,-144.389923,-2071.257568,-973.595703,-144.389923,class1
-12189.597656,-2552.822266,-622.797119,-428.195282,-12189.597656,-2552.822266,-428.195282,class1
750.869141,-920.748169,-656.0177,-598.645203,750.869141,-920.748169,-598.645203,class1
5608.23877,594.711548,-660.538269,-747.148376,5608.23877,594.711548,-747.148376,class1
-4574.699219,-779.959167,-1112.139038,-948.648193,-4574.699219,-779.959167,-948.648193,class1
-8266.484375,-3194.897461,-1822.248535,-1175.801514,-8266.484375,-3194.897461,-1175.801514,class1
-8325.625,-4025.287598,-2284.359863,-1368.693359,-8325.625,-4025.287598,-1368.693359,class1
-3135.743896,-3299.749268,-2250.454346,-1405.327637,-3135.743896,-3299.749268,-1405.327637,class1
-3343.901611,-2291.225586,-1892.009033,-1316.875977,-3343.901611,-2291.225586,-1316.875977,class1
-2639.929688,-1554.871338,-1478.578857,-1184.393433,-2639.929688,-1554.871338,-1184.393433,class1
1816.359863,-1365.729248,-1298.847168,-1058.085938,1816.359863,-1365.729248,-1058.085938,class1
1036.475708,-1773.379883,-1321.923828,-920.337402,1036.475708,-1773.379883,-920.337402,class1
-2972.35791,-2157.919434,-1228.30835,-702.016846,-2972.35791,-2157.919434,-702.016846,class1
-4694.830566,-1433.164795,-749.007202,-347.957947,-4694.830566,-1433.164795,-347.957947,class1
3901.976807,35.416168,82.440399,147.358109,3901.976807,35.416168,147.358109,class1
-4199.683105,1233.51123,988.804871,655.9953,-4199.683105,1233.51123,655.9953,class1
2741.276611,2474.428223,1711.783691,1025.716919,2741.276611,2474.428223,1025.716919,class1
3403.627441,3003.629883,1881.080322,1103.304199,3403.627441,3003.629883,1103.304199,class1
1254.911377,1154.878662,246.798645,-85.662628,1254.911377,1154.878662,-85.662628,class1
5084.791992,699.211914,-153.669708,-335.966492,5084.791992,699.211914,-335.966492,class1
-8324.280273,-2402.876465,-941.072571,-650.867737,-8324.280273,-2402.876465,-650.867737,class1
-14013.851563,-4172.195313,-1516.573242,-912.313599,-14013.851563,-4172.195313,-912.313599,class1
-4576.120117,-2559.288086,-1449.862061,-989.732056,-4576.120117,-2559.288086,-989.732056,class1
3474.389648,-470.328613,-1122.016846,-977.083618,3474.389648,-470.328613,-977.083618,class1
3496.438232,-671.608032,-1111.049805,-988.885986,3496.438232,-671.608032,-988.885986,class1
-4969.179688,-2342.958008,-1451.727661,-1066.724365,-4969.179688,-2342.958008,-1066.724365,class1
-6704.170898,-3220.810059,-1801.359375,-1196.146484,-6704.170898,-3220.810059,-1196.146484,class1
-2546.274414,-3088.521973,-1928.487305,-1257.342529,-2546.274414,-3088.521973,-1257.342529,class1
-4746.276367,-2634.413086,-1830.90686,-1232.630981,-4746.276367,-2634.413086,-1232.630981,class1
-2022.098633,-2021.930054,-1583.025146,-1141.740967,-2022.098633,-2021.930054,-1141.740967,class1
